year,yearly_ranking,name,net_worth_usd_billion,age,nationality,source_of_wealth,industry
2003,7,Helen Walton,16.5,83, United States,Wal-Mart,Consumer Goods/Retail
2002,8,Helen Walton,20.5,82, United States,Wal-Mart,Consumer Goods/Retail
2001,10,Helen Walton,18.5,81, United States,Wal-Mart,Consumer Goods/Retail
1989,6,Hirotomo Takei [ja] & family,7.8,/, Japan,consumer loans,Services
2009,5,Ingvar Kamprad,22,83, Sweden,IKEA,Consumer Goods/Retail
2008,7,Ingvar Kamprad,31,81, Sweden,IKEA,Consumer Goods/Retail
2007,4,Ingvar Kamprad,33,80, Sweden,IKEA,Consumer Goods/Retail
2006,4,Ingvar Kamprad,28,79, Sweden,IKEA,Consumer Goods/Retail
2005,6,Ingvar Kamprad,23,79, Sweden,IKEA,Consumer Goods/Retail
1998,6,Jay and Robert Pritzker,13.5,_, United States,Hyatt[48],Real Estate
2022,2,Jeff Bezos,177,58, United States,Amazon,Media/Technology
2021,1,Jeff Bezos,177,57, United States,Amazon,Media/Technology
2020,1,Jeff Bezos,113,56, United States,Amazon,Media/Technology
2019,1,Jeff Bezos,131,55, United States,Amazon,Media/Technology
2018,1,Jeff Bezos,112,54, United States,Amazon,Media/Technology
2017,3,Jeff Bezos,72.8,53, United States,Amazon,Media/Technology
2016,5,Jeff Bezos,45.2,52, United States,Amazon,Media/Technology
2004,6,Jim Walton,20,56, United States,Wal-Mart,Consumer Goods/Retail
2003,7,Jim Walton,16.5,55, United States,Wal-Mart,Consumer Goods/Retail
2002,6,Jim Walton,20.8,54, United States,Wal-Mart,Consumer Goods/Retail
2001,7,Jim Walton,18.8,53, United States,Wal-Mart,Consumer Goods/Retail
2020,8,Jim Walton,54.6,71, United States,Walmart,Consumer Goods/Retail
2015,9,Jim Walton,40.6,66, United States,Walmart,Consumer Goods/Retail
2014,10,Jim Walton,34.7,65, United States,Walmart,Consumer Goods/Retail
2004,6,John Walton,20,58, United States,Wal-Mart,Consumer Goods/Retail
2003,7,John Walton,16.5,57, United States,Wal-Mart,Consumer Goods/Retail
2002,7,John Walton,20.7,56, United States,Wal-Mart,Consumer Goods/Retail
2001,8,John Walton,18.7,55, United States,Wal-Mart,Consumer Goods/Retail
1988,4,K. C. Irving,8,/, Canada,Irving Group of Companies,Energy
2012,10,Karl Albrecht,25.4,92, Germany,Aldi,Consumer Goods/Retail
2010,10,Karl Albrecht,23.5,90, Germany,Aldi Süd,Consumer Goods/Retail
2009,6,Karl Albrecht,21.5,89, Germany,Aldi Süd,Consumer Goods/Retail
2008,10,Karl Albrecht,27,88, Germany,Aldi Süd,Consumer Goods/Retail
2005,8,Karl Albrecht,18.5,85, Germany,Aldi Süd,Consumer Goods/Retail
2004,3,Karl Albrecht,23,84, Germany,Aldi Süd,Consumer Goods/Retail
1996,10,Karl and Theo Albrecht,9,76, Germany,Aldi Süd[56],Consumer Goods/Retail
1994,9,Karl and Theo Albrecht,7.3,/, Germany,Aldi,Consumer Goods/Retail
2001,5,Karl and Theo Albrecht,25,81, Germany,Aldi,Consumer Goods/Retail
2003,3,Karl and Theo Albrecht,25.6,83, Germany,Aldi Süd,Consumer Goods/Retail
2002,3,Karl and Theo Albrecht,26.8,82, Germany,Aldi Süd,Consumer Goods/Retail
2000,5,Karl and Theo Albrecht,20,80, Germany,Aldi Süd,Consumer Goods/Retail
1999,9,Karl and Theo Albrecht,13.6,79, Germany,Aldi Süd,Consumer Goods/Retail
1998,10,Karl and Theo Albrecht,11.7,78, Germany,Aldi Süd,Consumer Goods/Retail
1997,9,Karl and Theo Albrecht,11.5,77, Germany,Aldi Süd,Consumer Goods/Retail
1987,10,Keizo Saji,4,/, Japan,Suntory,Miscellaneous
1991,9,Kenkichi Nakajima [Wikidata],6.1,/, Japan,Fuji Heavy Industries,Manufacturing
1990,8,Kenkichi Nakajima [Wikidata],8.4,/, Japan,Fuji Heavy Industries,Manufacturing
1995,8,Kenneth Thomson,6.5,/, Canada,Thomson Corporation,Media/Technology
1992,9,Kenneth Thomson,6.2,/, Canada,Thomson Corporation,Media/Technology
1991,8,Kenneth Thomson,6.8,/, Canada,Thomson Corporation,Media/Technology
1987,9,Kenneth Thomson,5.4,/, Canada,Thomson Corporation,Media/Technology
2006,9,Kenneth Thomson,19.6,82, Canada,Thomson Corporation,Media/Technology
2000,10,Kenneth Thomson,16.1,77, Canada,The Thomson Corporation,Miscellaneous
1998,5,Kenneth Thomson,14.4,74, Canada,Woodbridge Co. Ltd.[47],Miscellaneous
1990,6,Kitaro Watanabe [ja],9.2,/, Japan,Oriental Land Company,Hospitality/Entertainment
1989,7,Kitaro Watanabe [ja],7,/, Japan,Oriental Land Company,Hospitality/Entertainment
1988,10,Kitaro Watanabe [ja],5.2,/, Japan,Oriental Land Company,Hospitality/Entertainment
1991,6,Kitaro Watanabe [ja],7.7,/, Japan,"Oriental Land Company,",Real Estate
2008,8,Kushal Pal Singh,30,76, India,DLF Group,Energy
1997,6,Kwok brothers,12.3,48, Hong Kong,Sun Hung Kai Properties[51],Real Estate
1996,7,Kwok brothers,11.2,_, Hong Kong,Sun Hung Kai Properties[51],Real Estate
2011,6,Lakshmi Mittal,31.1,60, India,Arcelor Mittal,Miscellaneous
2010,5,Lakshmi Mittal,28.7,60, India,Arcelor Mittal,Miscellaneous
2009,8,Lakshmi Mittal,19.3,58, India,Arcelor Mittal,Miscellaneous
2008,4,Lakshmi Mittal,45,57, India,Arcelor Mittal,Miscellaneous
2007,5,Lakshmi Mittal,32,56, India,Arcelor Mittal,Miscellaneous
2006,5,Lakshmi Mittal,23.5,55, India,Mittal Steel Company,Manufacturing
2005,3,Lakshmi Mittal,25,54, India,Mittal Steel Company,Manufacturing
2022,8,Larry Ellison,106,77, United States,Oracle Corporation,Media/Technology
2021,7,Larry Ellison,93,76, United States,Oracle Corporation,Media/Technology
2020,5,Larry Ellison,59,75, United States,Oracle Corporation,Media/Technology
2019,7,Larry Ellison,62.5,74, United States,Oracle Corporation,Media/Technology
2018,10,Larry Ellison,58.5,73, United States,Oracle Corporation,Media/Technology
2017,7,Larry Ellison,52.2,72, United States,Oracle Corporation,Media/Technology
2016,7,Larry Ellison,43.6,71, United States,Oracle Corporation,Media/Technology
2015,5,Larry Ellison,54.3,70, United States,Oracle Corporation,Media/Technology
2014,5,Larry Ellison,48,70, United States,Oracle Corporation,Media/Technology
2013,5,Larry Ellison,43,68, United States,Oracle Corporation,Media/Technology
2012,6,Larry Ellison,36,67, United States,Oracle Corporation,Media/Technology
2011,5,Larry Ellison,39.5,66, United States,Oracle Corporation,Media/Technology
